,8:30 - 9:20,9:30 - 10:20,10:30 - 11:20,11:30 - 12:20,12:30 - 1:20,1:30 - 2:20,2:30 - 3:20,3:30 - 4:20,4:30 - 5:20,5:30 - 6:20,6:30 - 7:20,7:30 - 8:20
SUNDAY,,,CSCI205-02-LEC - 129,CSCI205-02-LEC - 129,,,CSCI112-02-LEC - 232,CSCI112-02-LEC - 232,,,,
MONDAY,,,,,,,MATH112i-01A-TUT - 233,MATH112i-01A-TUT - 233,,,,
TUESDAY,,,,,CSCI205-02A-LAB - G18,CSCI205-02A-LAB - G18,,,,,,
WEDNESDAY,,,,,,,MATH112-02-LEC - F38,MATH112-02-LEC - F38,MATH112-02-LEC - F38,MATH112-02-LEC - F38,,
THURSDAY,,HUMA102-02-LEC - F45,CSCI112-02B-LAB - 264,CSCI112-02B-LAB - 264,,,,,,,,
